Country,Population 2025,Area (Km^2),Density,Change (%),Global Population (%),Rank
India,1463870000.0,3300000.0,492,0.89,18.29,1
China,1416100000.0,9700000.0,150,-0.23,17.69,2
United States,347276000.0,9400000.0,38,0.54,4.34,3
Indonesia,285721000.0,1900000.0,152,0.79,3.57,4
Pakistan,255220000.0,881900.0,331,1.57,3.19,5
Nigeria,237528000.0,923800.0,261,2.08,2.97,6
Brazil,212812000.0,8500000.0,25,0.38,2.66,7
Bangladesh,175687000.0,147600.0,"1,350",1.22,2.19,8
Russia,143997000.0,17100000.0,9,-0.57,1.8,9
Ethiopia,135472000.0,1100000.0,120,2.58,1.69,10
Mexico,131947000.0,2000000.0,68,0.83,1.65,11
Japan,123103000.0,377900.0,338,-0.53,1.54,12
Egypt,118366000.0,1000000.0,119,1.57,1.48,13
Philippines,116787000.0,342400.0,392,0.81,1.46,14
DR Congo,112832000.0,2300000.0,50,3.25,1.41,15
Vietnam,101599000.0,331200.0,324,0.61,1.27,16
Iran,92417700.0,1600000.0,57,0.93,1.15,17
Turkey,87685400.0,783600.0,112,0.24,1.1,18
Germany,84075100.0,357100.0,241,-0.56,1.05,19
Thailand,71619900.0,513100.0,140,-0.07,0.89,20
Tanzania,70545900.0,945100.0,80,2.9,0.88,21
United Kingdom,69551300.0,242900.0,287,0.6,0.87,22
France,66650800.0,551700.0,122,0.15,0.83,23
South Africa,64747300.0,1200000.0,53,1.16,0.81,24
Italy,59146300.0,301300.0,200,-0.33,0.74,25
Kenya,57532500.0,580400.0,101,1.95,0.72,26
Myanmar,54850600.0,676600.0,84,0.64,0.69,27
Colombia,53425600.0,1100000.0,48,1.02,0.67,28
South Korea,51667000.0,100200.0,529,-0.1,0.65,29
Sudan,51662100.0,1900000.0,28,2.4,0.65,30
Uganda,51384900.0,241600.0,256,2.74,0.64,31
Spain,47890000.0,506000.0,96,-0.04,0.6,32
Algeria,47435300.0,2400000.0,20,1.33,0.59,33
Iraq,47020800.0,438300.0,108,2.13,0.59,34
Argentina,45851400.0,2800000.0,17,0.34,0.57,35
Afghanistan,43844100.0,652200.0,67,2.81,0.55,36
Yemen,41773900.0,528000.0,79,2.93,0.52,37
Canada,40126700.0,10000000.0,4,0.97,0.5,38
Angola,39040000.0,1200000.0,31,3.05,0.49,39
Ukraine,38980400.0,603500.0,67,2.96,0.49,40
Morocco,38430800.0,446600.0,86,0.92,0.48,41
Poland,38140900.0,312700.0,125,-1.03,0.48,42
Uzbekistan,37053400.0,447400.0,84,1.9,0.46,43
Malaysia,35977800.0,330800.0,110,1.18,0.45,44
Mozambique,35631700.0,801600.0,45,2.89,0.45,45
Ghana,35064300.0,238500.0,154,1.85,0.44,46
Peru,34576700.0,1300000.0,27,1.05,0.43,47
Saudi Arabia,34566300.0,2100000.0,16,1.78,0.43,48
Madagascar,32740700.0,587000.0,56,2.43,0.41,49
Ivory Coast,32711500.0,322500.0,103,2.43,0.41,50
Cameroon,29879300.0,475400.0,63,2.59,0.37,51
Nepal,29618100.0,147200.0,207,-0.11,0.37,52
Venezuela,28516900.0,916400.0,32,0.39,0.36,53
Niger,27917800.0,1300000.0,22,3.28,0.35,54
Australia,26974000.0,7700000.0,4,0.98,0.34,55
North Korea,26571000.0,120500.0,221,0.27,0.33,56
Syria,25620400.0,185200.0,140,3.84,0.32,57
Mali,25198800.0,1200000.0,21,2.94,0.31,58
Burkina Faso,24074600.0,273000.0,88,2.23,0.3,59
Sri Lanka,23229500.0,65600.0,376,0.54,0.29,60
Taiwan,23112800.0,36200.0,639,-0.44,0.29,61
Malawi,22216100.0,118500.0,236,2.59,0.28,62
Zambia,21913900.0,752600.0,29,2.81,0.27,63
Chad,21003700.0,1300000.0,17,3.47,0.26,64
Kazakhstan,20843800.0,2700000.0,8,1.22,0.26,65
Chile,19859900.0,756100.0,27,0.48,0.25,66
Somalia,19654700.0,637700.0,31,3.4,0.25,67
Senegal,18932000.0,196700.0,98,2.32,0.24,68
Romania,18908600.0,238400.0,82,-0.56,0.24,69
Guatemala,18687900.0,108900.0,174,1.53,0.23,70
Netherlands,18346800.0,41900.0,545,0.65,0.23,71
Ecuador,18289900.0,276800.0,74,0.85,0.23,72
Cambodia,17848000.0,181000.0,101,1.19,0.22,73
Zimbabwe,16950800.0,390800.0,44,1.9,0.21,74
Guinea,15099700.0,245900.0,61,2.34,0.19,75
Benin,14814500.0,112600.0,131,2.43,0.19,76
Rwanda,14569300.0,26300.0,591,2.19,0.18,77
Burundi,14390000.0,27800.0,560,2.44,0.18,78
Bolivia,12581800.0,1100000.0,12,1.36,0.16,79
Tunisia,12348600.0,163600.0,79,0.58,0.15,80
South Sudan,12188800.0,619700.0,19,2.05,0.15,81
Haiti,11906100.0,27800.0,432,1.13,0.15,82
Belgium,11758600.0,30500.0,388,0.17,0.15,83
Jordan,11520700.0,89300.0,130,-0.28,0.14,84
Dominican Republic,11520500.0,48700.0,238,0.81,0.14,85
United Arab Emirates,11346000.0,83600.0,160,2.89,0.14,86
Honduras,11005800.0,112500.0,98,1.66,0.14,87
Cuba,10937200.0,109900.0,105,-0.39,0.14,88
Tajikistan,10786700.0,143100.0,78,1.85,0.13,89
Papua New Guinea,10762800.0,462800.0,24,1.76,0.13,90
Sweden,10656600.0,450300.0,26,0.47,0.13,91
Czech Republic,10609200.0,78900.0,137,-1.18,0.13,92
Portugal,10411800.0,92100.0,114,-0.13,0.13,93
Azerbaijan,10397700.0,86600.0,126,0.59,0.13,94
Greece,9938840.0,132000.0,77,-1.08,0.12,95
Togo,9721610.0,56800.0,179,2.17,0.12,96
Hungary,9632290.0,93000.0,106,-0.45,0.12,97
Israel,9517180.0,20800.0,440,1.39,0.12,98
Austria,9113570.0,83900.0,110,-0.08,0.11,99
Belarus,8997600.0,207600.0,44,-0.65,0.11,100
