Country,Population,Births per Day,Deaths per Day,Immigrations per Day,Net Change per Day,2025 Population Change
Aruba,"108,131",3,3,,0,0
Afghanistan,"43,492,950","4,128",673,,"3,251","237,323"
Angola,"38,696,293","3,915",722,,"3,182","232,286"
Anguilla,,,,,,
Albania,"2,777,639",75,66,,57,"4,161"
Andorra,"82,639",2,1,2,2,146
United Arab Emirates,"11,268,605",312,30,434,717,"52,341"
Argentina,"45,805,960","1,391",978,8,421,"30,733"
Armenia,"2,958,791",96,76,,60,"4,380"
American Samoa,"46,241",2,1,,2,146
Antigua and Barbuda,"94,082",3,2,,1,73
Australia,"26,897,677",833,502,375,707,"51,611"
Austria,"9,115,521",206,255,31,18,"1,314"
Azerbaijan,"10,380,345",329,192,24,161,"11,753"
Burundi,"14,289,858","1,283",261,,927,"67,671"
Belgium,"11,753,422",277,317,88,48,"3,504"
Benin,"14,709,876","1,340",350,,969,"70,737"
Burkina Faso,"23,919,107","2,031",517,,"1,440","105,120"
Bangladesh,"175,054,441","9,422","2,464",,"5,857","427,561"
Bulgaria,"6,727,925",165,281,,124,"9,052"
Bahrain,"1,633,254",54,10,50,93,"6,789"
Bahamas,"402,543",12,10,3,5,365
Bosnia and Herzegovina,"3,147,631",66,117,,70,"5,110"
Belarus,"9,015,277",171,326,,164,"11,972"
Belize,"421,222",21,6,1,16,"1,168"
Bermuda,"64,581",1,2,,0,0
Brazil,"212,581,530","6,923","4,194",,"2,134","155,782"
Barbados,"282,586",9,8,,0,0
Bhutan,"795,061",27,13,1,15,"1,095"
Botswana,"2,550,057",168,40,,112,"8,176"
Central African Republic,"5,458,786",685,140,,505,"36,865"
Canada,"40,020,045",989,894,893,988,"72,124"
Switzerland,"8,954,686",224,208,102,118,"8,614"
Chile,"19,833,400",466,363,142,245,"17,885"
China,"1,417,068,400","23,845","32,077",,"8,967","654,591"
Cameroon,"29,654,940","2,685",565,,"2,077","151,621"
Cook Islands,,,,,,
Colombia,"53,270,296","1,897",812,354,"1,438","104,974"
Comoros,"878,060",67,17,,44,"3,212"
Costa Rica,"5,146,322",139,80,3,61,"4,453"
Cuba,"10,950,075",256,314,,119,"8,687"
Cayman Islands,"75,440",2,1,2,4,292
Cyprus,"1,367,186",38,26,21,33,"2,409"
Germany,"84,272,531","1,938","2,852",,"1,828","133,444"
Djibouti,"1,179,641",67,24,,41,"2,993"
Dominica,"65,976",2,2,,1,73
Denmark,"5,995,657",162,159,61,63,"4,599"
Dominican Republic,"11,493,675",545,200,,248,"18,104"
Algeria,"47,255,645","2,342",603,,"1,663","121,399"
Ecuador,"18,244,306",733,264,,422,"30,806"
Egypt,"117,852,751","6,708","1,799",,"4,752","346,896"
Eritrea,"3,584,779",283,59,,206,"15,038"
Western Sahara,"597,903",25,11,14,28,"2,044"
Spain,"47,899,037",904,"1,252",265,84,"6,132"
Estonia,"1,349,929",29,45,,53,"3,869"
Ethiopia,"134,462,205","11,435","2,151",66,"9,350","682,550"
Finland,"5,622,887",120,166,50,4,292
Fiji,"931,894",45,24,,12,876
France,"66,621,292","1,737","1,715",251,273,"19,929"
Faroe Islands,"55,838",2,1,1,2,146
Gabon,"2,577,110",189,44,3,148,"10,804"
Georgia,"3,807,161",115,123,4,5,365
Guernsey,"64,428",1,2,1,0,0
Ghana,"34,876,300","2,458",671,,"1,741","127,093"
Gibraltar,"39,897",1,1,2,2,146
Guinea,"14,998,163","1,354",369,,940,"68,620"
Guadeloupe,"374,182",11,10,,4,292
Gambia,"2,803,744",226,48,,170,"12,410"
Guinea-Bissau,"2,235,208",179,43,,133,"9,709"
Equatorial Guinea,"1,924,818",157,41,10,126,"9,198"
Greece,"9,950,827",187,343,46,111,"8,103"
Grenada,"117,279",4,3,,0,0
Greenland,"55,775",2,2,,0,0
Guatemala,"18,604,897","1,041",250,,769,"56,137"
French Guiana,"312,140",21,4,,14,"1,022"
Guam,"168,644",8,3,,3,219
Guyana,"834,538",45,17,,13,949
Hong Kong,"7,396,475",107,159,49,4,292
Honduras,"10,952,675",642,137,,492,"35,916"
Croatia,"3,855,942",85,147,,72,"5,256"
Haiti,"11,866,963",705,255,,362,"26,426"
Hungary,"9,650,185",231,352,,166,"12,118"
Indonesia,"285,071,069","12,158","6,032",,"6,018","439,314"
Isle of Man,"84,134",2,2,,0,0
India,"1,460,067,336","63,171","26,604",,"35,210","2,570,330"
Ireland,"5,293,002",144,102,97,139,"10,147"
Iraq,"46,728,277","3,251",540,,"2,709","197,757"
Iceland,"396,957",12,7,7,12,876
Israel,"9,478,770",469,145,31,356,"25,988"
Italy,"59,208,000","1,047","1,825",207,571,"41,683"
Jamaica,"2,837,938",87,65,,8,584
Jersey,"103,951",2,3,1,0,0
Jordan,"11,552,709",635,101,,296,"21,608"
Japan,"123,298,996","2,048","4,248",385,"1,815","132,495"
Kazakhstan,"20,771,166","1,082",385,,673,"49,129"
Kenya,"57,206,596","4,219","1,126",,"3,018","220,314"
Kyrgyzstan,"7,263,327",409,121,5,294,"21,462"
Cambodia,"17,786,812",971,318,,567,"41,391"
Kiribati,"135,909",9,3,,5,365
Saint Kitts and Nevis,"46,897",1,1,,0,0
Kuwait,"5,001,711",133,25,117,226,"16,498"
