Country,Population,Births per Day,Deaths per Day,Immigrations per Day,Net Change per Day,2025 Population Change,Country Code,Total Emissions (MtCO2e),Emissions per Capita (tCO2e/person),Emissions per GDP (tCO2e/million $GDP),ND-GAIN Vulnerability Score,Population (millions),GDP per Capita (USD),Indicator,Year,Value
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,2.6
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,3.3
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,3.7
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,4.0
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,72.2
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,60.1
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,0.2
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,0.3
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,27.3
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,27.7
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,23.7
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,24.8
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,6.5
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,5.4
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,8.6
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,10.1
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,3.5
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,3.3
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2010.0,3.4
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2015.0,9.8
,43492950.0,4128.0,673.0,,3251.0,237323.0,AFG,31.27,0.8,1554.66,0.59,39.84,516.75,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,-0.9
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,-0.4
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,1.3
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,1.8
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,16.8
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,9.2
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,1.2
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,16.4
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,20.7
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,52.2
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,57.4
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,1.6
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,1.7
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,8.1
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2010.0,4.7
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2015.0,4.9
,2777639.0,75.0,66.0,,57.0,4161.0,ALB,8.06,2.84,532.51,0.4,2.81,5332.16,,2021.0,
