Country,Indicator,Year,Value
Afghanistan,Population growth ratei(average annual %),2010,2.6
Afghanistan,Population growth ratei(average annual %),2015,3.3
Afghanistan,Population growth ratei(average annual %),2021,2.5c
Afghanistan,Urban population growth ratei(average annual %),2010,3.7
Afghanistan,Urban population growth ratei(average annual %),2015,4
Afghanistan,Urban population growth ratei(average annual %),2021,...
Afghanistan,"Life expectancy at birthi(females/males, years)",2010,61.0 /       58.3
Afghanistan,"Life expectancy at birthi(females/males, years)",2015,63.8 /       60.9
Afghanistan,"Life expectancy at birthi(females/males, years)",2021,65.8 /       62.8c
Afghanistan,International migrant stockj(000/% of total pop.),2010,102.3 /        0.4
Afghanistan,International migrant stockj(000/% of total pop.),2015,339.4 /        1.0
Afghanistan,International migrant stockj(000/% of total pop.),2021,144.1 /        0.4c
Afghanistan,Infant mortality ratei(per 1 000 live births),2010,72.2
Afghanistan,Infant mortality ratei(per 1 000 live births),2015,60.1
Afghanistan,Infant mortality ratei(per 1 000 live births),2021,51.7c
Afghanistan,Health: Physicians(per 1 000 pop.),2010,0.2
Afghanistan,Health: Physicians(per 1 000 pop.),2015,0.3
Afghanistan,Health: Physicians(per 1 000 pop.),2021,0.3m
Afghanistan,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,80.6 /      118.6
Afghanistan,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,83.5 /      122.7
Afghanistan,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,82.9 /      124.2l
Afghanistan,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,17.8 /       42.7
Afghanistan,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,27.1 /       52.6
Afghanistan,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,28.5 /       52.4l
Afghanistan,Seats held by women in national parliaments(%),2010,27.3
Afghanistan,Seats held by women in national parliaments(%),2015,27.7
Afghanistan,Seats held by women in national parliaments(%),2021,27o
Afghanistan,Urban population(% of total population),2010,23.7
Afghanistan,Urban population(% of total population),2015,24.8
Afghanistan,Urban population(% of total population),2021,25.8b
Afghanistan,"Fertility rate, totali(live births per woman)",2010,6.5
Afghanistan,"Fertility rate, totali(live births per woman)",2015,5.4
Afghanistan,"Fertility rate, totali(live births per woman)",2021,4.6c
Afghanistan,"Population age distribution(0-14/60+ years old, %)",2010,48.2 /        3.9
Afghanistan,"Population age distribution(0-14/60+ years old, %)",2015,44.9 /        4.0
Afghanistan,"Population age distribution(0-14/60+ years old, %)",2021,41.2 /        4.3a
Afghanistan,Refugees and others of concern to UNHCR(000),2010,1 200.0k
Afghanistan,Refugees and others of concern to UNHCR(000),2015,1 421.4
Afghanistan,Refugees and others of concern to UNHCR(000),2021,2 802.9c
Afghanistan,Health: Current expenditure(% of GDP),2010,8.6
Afghanistan,Health: Current expenditure(% of GDP),2015,10.1
Afghanistan,Health: Current expenditure(% of GDP),2021,9.4l
Afghanistan,Education: Government expenditure(% of GDP),2010,3.5
Afghanistan,Education: Government expenditure(% of GDP),2015,3.3
Afghanistan,Education: Government expenditure(% of GDP),2021,"4.1h,n"
Afghanistan,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,33.3 /       66.9
Afghanistan,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,36.8 /       65.9
Afghanistan,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,40.0 /       70.1l
Afghanistan,Intentional homicide rate(per 100 000 pop.),2010,3.4
Afghanistan,Intentional homicide rate(per 100 000 pop.),2015,9.8
Afghanistan,Intentional homicide rate(per 100 000 pop.),2021,6.7l
Albania,Population growth ratek(average annual %),2010,-0.9
Albania,Population growth ratek(average annual %),2015,-0.4
Albania,Population growth ratek(average annual %),2021,-0.1c
Albania,Urban population growth ratek(average annual %),2010,1.3
Albania,Urban population growth ratek(average annual %),2015,1.8
Albania,Urban population growth ratek(average annual %),2021,...
Albania,"Life expectancy at birthk(females/males, years)",2010,78.5 /       73.2
Albania,"Life expectancy at birthk(females/males, years)",2015,80.0 /       75.2
Albania,"Life expectancy at birthk(females/males, years)",2021,80.1 /       76.7c
Albania,International migrant stock(000/% of total pop.),2010,52.8 /        1.8
Albania,International migrant stock(000/% of total pop.),2015,52.0 /        1.8
Albania,International migrant stock(000/% of total pop.),2021,48.8 /        1.7c
Albania,Infant mortality ratek(per 1 000 live births),2010,16.8
Albania,Infant mortality ratek(per 1 000 live births),2015,9.2
Albania,Infant mortality ratek(per 1 000 live births),2021,8c
Albania,Health: Physicians(per 1 000 pop.),2010,1.2
Albania,Health: Physicians(per 1 000 pop.),2015,1.3n
Albania,Health: Physicians(per 1 000 pop.),2021,1.6b
Albania,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,93.8 /       93.2
Albania,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,107.3 /      104.0
Albania,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,106.4 /      103.4b
Albania,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,79.0 /       81.1
Albania,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,89.6 /       99.6
Albania,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,91.9 /       93.4b
Albania,Seats held by women in national parliaments(%),2010,16.4
Albania,Seats held by women in national parliaments(%),2015,20.7
Albania,Seats held by women in national parliaments(%),2021,29.5q
Albania,Urban population(% of total population),2010,52.2
Albania,Urban population(% of total population),2015,57.4
Albania,Urban population(% of total population),2021,61.2b
Albania,"Fertility rate, totalk(live births per woman)",2010,1.6
Albania,"Fertility rate, totalk(live births per woman)",2015,1.7
Albania,"Fertility rate, totalk(live births per woman)",2021,1.6c
Albania,"Population age distribution(0-14/60+ years old, %)",2010,22.5 /       15.0
Albania,"Population age distribution(0-14/60+ years old, %)",2015,18.7 /       17.9
Albania,"Population age distribution(0-14/60+ years old, %)",2021,17.1 /       21.9a
Albania,Refugees and others of concern to UNHCR(000),2010,0.1l
Albania,Refugees and others of concern to UNHCR(000),2015,8.1
Albania,Refugees and others of concern to UNHCR(000),2021,3.6c
Albania,Health: Current expenditure(% of GDP),2010,4.7
Albania,Health: Current expenditure(% of GDP),2015,4.9
Albania,Health: Current expenditure(% of GDP),2021,5.3m
Albania,Education: Government expenditure(% of GDP),2010,3.3o
Albania,Education: Government expenditure(% of GDP),2015,3.4
Albania,Education: Government expenditure(% of GDP),2021,3.6p
Albania,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2010,88.4 /       87.9
Albania,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2015,95.1 /       99.5
Albania,Education: Secondary gross enrol. ratio(f/m per 100 pop.),2021,95.7 /       94.6b
Albania,Intentional homicide rate(per 100 000 pop.),2010,4.3
Albania,Intentional homicide rate(per 100 000 pop.),2015,2.2
Albania,Intentional homicide rate(per 100 000 pop.),2021,2.3m
Algeria,Population growth rateh(average annual %),2010,1.6
Algeria,Population growth rateh(average annual %),2015,2
Algeria,Population growth rateh(average annual %),2021,2d
Algeria,Urban population growth rateh(average annual %),2010,2.8
Algeria,Urban population growth rateh(average annual %),2015,2.9
Algeria,Urban population growth rateh(average annual %),2021,...
Algeria,"Life expectancy at birthh(females/males, years)",2010,75.4 /       73.0
Algeria,"Life expectancy at birthh(females/males, years)",2015,76.7 /       74.4
Algeria,"Life expectancy at birthh(females/males, years)",2021,77.8 /       75.4d
Algeria,International migrant stocki(000/% of total pop.),2010,217.3 /        0.6
Algeria,International migrant stocki(000/% of total pop.),2015,239.5 /        0.6
Algeria,International migrant stocki(000/% of total pop.),2021,250.4 /        0.6d
Algeria,Infant mortality rateh(per 1 000 live births),2010,29.4
Algeria,Infant mortality rateh(per 1 000 live births),2015,24.9
Algeria,Infant mortality rateh(per 1 000 live births),2021,21.2d
Algeria,Health: Physicians(per 1 000 pop.),2010,1.2l
Algeria,Health: Physicians(per 1 000 pop.),2015,...
Algeria,Health: Physicians(per 1 000 pop.),2021,1.7k
Algeria,Education: Primary gross enrol. ratio(f/m per 100 pop.),2010,111.5 /      119.0
Algeria,Education: Primary gross enrol. ratio(f/m per 100 pop.),2015,113.0 /      118.7
Algeria,Education: Primary gross enrol. ratio(f/m per 100 pop.),2021,104.9 /      109.7b
Algeria,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2010,69.7 /       49.2
Algeria,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2015,72.8 /       52.6n
Algeria,Education: Upper secondary gross enrol. ratio(f/m per 100 pop.),2021,... / ...
Algeria,Seats held by women in national parliaments(%),2010,7.7
Algeria,Seats held by women in national parliaments(%),2015,31.6
Algeria,Seats held by women in national parliaments(%),2021,26o
Algeria,Urban population(% of total population),2010,67.5
Algeria,Urban population(% of total population),2015,70.8
Algeria,Urban population(% of total population),2021,73.2b
